,Départ,Arrivée,Prix,Temps entre la réservation et le vol
527,Bruxelles,Bastia,313,8 à 9 mois
528,Bruxelles,Bastia,214,9 à 10 mois
529,Bruxelles,Bastia,309,10 à 11 mois
530,Bruxelles,Bastia,288,11 à 12 mois
531,Genève,Bastia,245,0 à 1 mois
532,Genève,Bastia,205,1 à 2 mois
533,Genève,Bastia,196,2 à 3 mois
534,Genève,Bastia,191,3 à 4 mois
535,Genève,Bastia,186,4 à 5 mois
536,Genève,Bastia,171,5 à 6 mois
537,Genève,Bastia,177,6 à 7 mois
538,Genève,Bastia,182,7 à 8 mois
539,Genève,Bastia,184,8 à 9 mois
540,Lyon,Bastia,236,0 à 1 mois
541,Lyon,Bastia,198,1 à 2 mois
542,Lyon,Bastia,175,2 à 3 mois
543,Lyon,Bastia,248,3 à 4 mois
544,Lyon,Bastia,248,4 à 5 mois
545,Lyon,Bastia,200,5 à 6 mois
546,Lyon,Bastia,268,6 à 7 mois
547,Lyon,Bastia,156,7 à 8 mois
548,Lyon,Bastia,409,8 à 9 mois
549,Lyon,Bastia,412,9 à 10 mois
550,Lyon,Bastia,284,10 à 11 mois
551,Lyon,Bastia,356,11 à 12 mois
552,Toulouse,Bastia,236,0 à 1 mois
553,Toulouse,Bastia,209,1 à 2 mois
554,Toulouse,Bastia,204,2 à 3 mois
555,Toulouse,Bastia,239,3 à 4 mois
556,Toulouse,Bastia,261,4 à 5 mois
557,Toulouse,Bastia,234,5 à 6 mois
558,Toulouse,Bastia,289,6 à 7 mois
559,Toulouse,Bastia,379,7 à 8 mois
560,Toulouse,Bastia,609,8 à 9 mois
561,Toulouse,Bastia,352,9 à 10 mois
562,Toulouse,Bastia,282,10 à 11 mois
563,Toulouse,Bastia,322,11 à 12 mois
564,Nice,Bastia,237,0 à 1 mois
565,Nice,Bastia,179,1 à 2 mois
566,Nice,Bastia,156,2 à 3 mois
567,Nice,Bastia,172,3 à 4 mois
568,Nice,Bastia,166,4 à 5 mois
569,Nice,Bastia,330,5 à 6 mois
570,Nice,Bastia,163,6 à 7 mois
